source_axis,source_ata,source_block,source_phase,source_knot,decision_or_uncertainty,impacted_axis,impacted_ata,impacted_block,impacted_phase,impacted_knot,coupling_type,impact_mode,severity,likelihood,risk_score,requires_signoff,signoff_aor,required_evidence,linked_tasks,notes
T,21,10,LC02,K02,ECS cabin atmosphere requirements,T,24,10,LC02,K02,hard,requirements,4,4,16,true,STK_CERT,Interface power requirements spec,K02-T001,ECS requires electrical power from ATA-24 (3 kW peak). Power interface must be defined in ICDs.
T,21,10,LC02,K02,ECS thermal management requirements,T,21,40,LC04,K04,hard,thermal,5,4,20,true,STK_PHM,Thermal analysis report,K04-T001,ECS thermal control subsystem (BLOCK-40 physics domain) requires heat rejection capacity (5 kW). Intra-ATA coupling between operational systems (BLOCK-10) and thermal physics subsystem (BLOCK-40). Critical for mission success.
T,21,10,LC02,K02,ECS monitoring and control requirements,T,31,30,LC02,K02,hard,requirements,3,4,12,false,,ICD with ATA-31 indicating/recording,K02-T001,ECS environmental data must be displayed and recorded via ATA-31 systems.
T,21,10,LC02,K02,ECS life support integration requirements,T,35,10,LC02,K02,hard,requirements,5,4,20,true,STK_SAF,Interface with oxygen supply system,K02-T001,Critical interface with life support gas distribution (ATA-35). Safety-critical coupling.
T,21,10,LC02,K02,ECS control system interface requirements,T,42,30,LC02,K02,hard,requirements,3,3,9,false,,ICD with IMA/compute platform,K02-T001,ECS control interfaces with vehicle compute platform (ATA-42) for autonomous control modes.
T,21,10,LC02,K02,ECS data network requirements,T,46,30,LC02,K02,soft,requirements,2,3,6,false,,Data interface specification,K02-T001,ECS telemetry and command via vehicle data networks (ATA-46).
T,21,10,LC02,K02,ECS water/waste interface requirements,T,38,10,LC02,K02,soft,requirements,3,3,9,false,,Humidity control coordination,K02-T001,Condensate removal and humidity control interface with water/waste system (ATA-38).
T,21,10,LC02,K02,ECS fire protection coordination,T,26,10,LC02,K02,soft,safety,4,2,8,true,STK_SAF,Fire detection integration plan,K02-T001,ECS must coordinate with fire protection systems (ATA-26) for safety.
T,21,10,LC02,K02,ECS health monitoring requirements,T,45,30,LC02,K02,soft,ops,2,3,6,false,,Health status reporting spec,K02-T001,ECS provides health status to Central Maintenance System (ATA-45).
T,21,10,LC02,K02,ECS cybersecurity requirements,T,21,20,LC02,K02,hard,cyber,4,3,12,true,STK_CY,Cyber hardening requirements,K02-T001,ECS control interfaces must be cyber-hardened to prevent unauthorized access/manipulation.
