Code,Name,Description,Category,Parent_Category,Status,Last_Updated,Example_Usage
ATA-00,GENERAL,General information and program governance,ATA_Chapter,,ACTIVE,2025-12-20,00_AMPEL360_SPACET_...
ATA-11,Placards and Markings,Documentation and labeling standards,ATA_Chapter,,ACTIVE,2025-12-20,11_AMPEL360_SPACET_...
ATA-21,Air Conditioning,Environmental control systems,ATA_Chapter,,ACTIVE,2025-12-20,21_AMPEL360_SPACET_...
ATA-30,Data Comms and Registry,Data management and communication systems,ATA_Chapter,,ACTIVE,2025-12-20,30_AMPEL360_SPACET_...
ATA-49,Airborne Auxiliary Power,APU and auxiliary power systems,ATA_Chapter,,ACTIVE,2025-12-20,49_AMPEL360_SPACET_...
ATA-91,Data Schemas / Ontologies,Data models and ontology definitions,ATA_Chapter,,ACTIVE,2025-12-20,91_AMPEL360_SPACET_...
ATA-93,Traceability Graph,Traceability and relationship mappings,ATA_Chapter,,ACTIVE,2025-12-20,93_AMPEL360_SPACET_...
ATA-94,DPP Core,Digital Product Passport core functionality,ATA_Chapter,,ACTIVE,2025-12-20,94_AMPEL360_SPACET_...
ATA-95,SBOM / BOM Exports,Software and hardware bill of materials,ATA_Chapter,,ACTIVE,2025-12-20,95_AMPEL360_SPACET_...
ATA-98,Signed Release Packs,Signed release packages and distributions,ATA_Chapter,,ACTIVE,2025-12-20,98_AMPEL360_SPACET_...
ATA-99,Master Registers,Master data registers and catalogs,ATA_Chapter,,ACTIVE,2025-12-20,99_AMPEL360_SPACET_...
STK_CM,Configuration Management,Baseline change control releases,AoR,,ACTIVE,2025-12-20,STK_CM owner_aor
STK_PMO,Program Management Office,Planning reporting coordination,AoR,,ACTIVE,2025-12-20,STK_PMO owner_aor
STK_SE,Systems Engineering,Requirements architecture interfaces,AoR,,ACTIVE,2025-12-20,STK_SE owner_aor
STK_SAF,Safety & Security,Safety security hazard analysis,AoR,,ACTIVE,2025-12-20,STK_SAF owner_aor
STK_CERT,Certification,Compliance audit authority liaison,AoR,,ACTIVE,2025-12-20,STK_CERT owner_aor
STK_DAB,Digital Applications & Blockchains,Data governance digital services,AoR,,ACTIVE,2025-12-20,STK_DAB owner_aor
STK_PHM,Prognostics & Health Management,Health monitoring predictive analytics,AoR,,ACTIVE,2025-12-20,STK_PHM owner_aor
STK_TEST,Testing,Verification validation test execution,AoR,,ACTIVE,2025-12-20,STK_TEST owner_aor
STK_OPS,Operations,Operational procedures and support,AoR,,ACTIVE,2025-12-20,STK_OPS owner_aor
STK_MRO,Maintenance Repair Overhaul,Maintenance procedures and execution,AoR,,ACTIVE,2025-12-20,STK_MRO owner_aor
STK_CY,Cybersecurity,Cybersecurity governance and controls,AoR,,ACTIVE,2025-12-20,STK_CY owner_aor
STK_CEGT,Circular Economy & Green Tech,Sustainability and circularity,AoR,,ACTIVE,2025-12-20,STK_CEGT owner_aor
STK_SPACEPORT,Spaceport,Ground operations launch facilities,AoR,,ACTIVE,2025-12-20,STK_SPACEPORT owner_aor
STK_AI,Artificial Intelligence,AI systems and governance,AoR,,ACTIVE,2025-12-20,STK_AI owner_aor
LC01,Problem Statement / Generation / Prompting Engineering,Problem framing ideation NKU generation pathways prompting engineering baselines initial scope statements,Lifecycle_Phase,,ACTIVE,2025-12-20,LC01 in filename
LC02,System Requirements,Requirement capture allocation traceability seeding acceptance criteria definition,Lifecycle_Phase,,ACTIVE,2025-12-20,LC02 in filename
LC03,Design Models,Architecture + design models (SysML design baselines interface modeling),Lifecycle_Phase,,ACTIVE,2025-12-20,LC03 in filename
LC04,Engineering Analysis & Calculation Models,Analyses calculation models trade studies margins model validation artifacts,Lifecycle_Phase,,ACTIVE,2025-12-20,LC04 in filename
LC05,Integration Testing & Prototyping (V&V / V6V),Prototyping integration campaigns SIL/HIL/PIL closure evidence production,Lifecycle_Phase,,ACTIVE,2025-12-20,LC05 in filename
LC06,Quality,QMS artifacts process quality audits nonconformance management quality gates,Lifecycle_Phase,,ACTIVE,2025-12-20,LC06 in filename
